temperature,city,pression,date
301.51,Paris,1019,2023-10-10_16:24
295.22,London,1016,2023-10-10_16:24
282.73,Washington,1000,2023-10-10_16:24
301.51,Paris,1019,2023-10-10_16:23
295.22,London,1016,2023-10-10_16:23
282.62,Washington,1000,2023-10-10_16:23
301.51,Paris,1019,2023-10-10_16:22
295.22,London,1016,2023-10-10_16:22
282.73,Washington,1000,2023-10-10_16:22
301.51,Paris,1019,2023-10-10_16:21
295.22,London,1016,2023-10-10_16:21
282.73,Washington,1000,2023-10-10_16:21
301.51,Paris,1019,2023-10-10_16:20
295.33,London,1016,2023-10-10_16:20
282.62,Washington,1000,2023-10-10_16:20
301.44,Paris,1019,2023-10-10_16:19
295.33,London,1016,2023-10-10_16:19
282.73,Washington,1000,2023-10-10_16:19
301.34,Paris,1019,2023-10-10_16:17
295.33,London,1016,2023-10-10_16:17
282.73,Washington,1000,2023-10-10_16:17
301.34,Paris,1019,2023-10-10_16:16
295.28,London,1016,2023-10-10_16:16
282.73,Washington,1000,2023-10-10_16:16
301.44,Paris,1019,2023-10-10_16:15
295.46,London,1016,2023-10-10_16:15
282.73,Washington,1000,2023-10-10_16:15
301.44,Paris,1019,2023-10-10_16:14
295.46,London,1016,2023-10-10_16:14
282.73,Washington,1000,2023-10-10_16:14
301.44,Paris,1019,2023-10-10_16:13
295.46,London,1016,2023-10-10_16:13
282.73,Washington,1000,2023-10-10_16:13
301.44,Paris,1019,2023-10-10_16:11
295.33,London,1016,2023-10-10_16:11
282.73,Washington,1000,2023-10-10_16:11
301.44,Paris,1019,2023-10-10_16:10
295.46,London,1016,2023-10-10_16:10
282.73,Washington,1000,2023-10-10_16:10
301.44,Paris,1019,2023-10-10_16:09
295.46,London,1016,2023-10-10_16:09
282.73,Washington,1000,2023-10-10_16:09
301.36,Paris,1019,2023-10-10_16:08
295.79,London,1016,2023-10-10_16:08
282.73,Washington,1000,2023-10-10_16:08
301.44,Paris,1019,2023-10-10_16:07
295.46,London,1016,2023-10-10_16:07
282.73,Washington,1000,2023-10-10_16:07
301.36,Paris,1019,2023-10-10_16:06
295.79,London,1016,2023-10-10_16:06
282.73,Washington,1000,2023-10-10_16:06
301.28,Paris,1019,2023-10-10_16:05
295.84,London,1016,2023-10-10_16:05
282.57,Washington,1000,2023-10-10_16:05
301.36,Paris,1019,2023-10-10_16:04
295.79,London,1016,2023-10-10_16:04
282.73,Washington,1000,2023-10-10_16:04
301.28,Paris,1019,2023-10-10_16:03
295.84,London,1016,2023-10-10_16:03
282.57,Washington,1000,2023-10-10_16:03
301.36,Paris,1019,2023-10-10_16:02
295.79,London,1016,2023-10-10_16:02
282.64,Washington,1000,2023-10-10_16:02
301.28,Paris,1019,2023-10-10_16:01
295.84,London,1016,2023-10-10_16:01
282.57,Washington,1000,2023-10-10_16:01
293.84,Paris,1019,2023-10-10 20:24
289.47,London,1015,2023-10-10 20:24
285.99,Washington,999,2023-10-10 20:24
293.84,Paris,1019,2023-10-10 20:23
289.47,London,1015,2023-10-10 20:23
285.99,Washington,999,2023-10-10 20:23
293.84,Paris,1019,2023-10-10 20:22
289.47,London,1015,2023-10-10 20:22
285.99,Washington,999,2023-10-10 20:22
293.84,Paris,1019,2023-10-10 20:21
289.47,London,1015,2023-10-10 20:21
285.99,Washington,999,2023-10-10 20:21
293.84,Paris,1019,2023-10-10 20:20
289.47,London,1015,2023-10-10 20:20
285.99,Washington,999,2023-10-10 20:20
293.84,Paris,1019,2023-10-10 20:19
289.47,London,1015,2023-10-10 20:19
285.99,Washington,999,2023-10-10 20:19
293.84,Paris,1019,2023-10-10 20:18
289.47,London,1015,2023-10-10 20:18
285.99,Washington,999,2023-10-10 20:18
293.84,Paris,1019,2023-10-10 20:17
289.47,London,1015,2023-10-10 20:17
285.99,Washington,999,2023-10-10 20:17
